hour,day,month,pm25,pm10,co,no2,so2,o3,nh3,aqi_change_rate
19,25,6,38.11,184.85,88.7,0.09,0.48,57.93,0.0,0.5200000000000102
14,2,7,17.58,72.18,72.56,0.09,0.41,42.72,0.0,-0.5499999999999972
11,23,6,33.7,152.53,80.53,0.06,0.48,52.18,0.0,0.6700000000000017
12,18,6,22.03,99.71,81.56,0.05,0.4,53.88,0.0,-4.900000000000006
7,17,7,26.7,119.74,76.35,0.06,0.43,42.53,0.0,-1.789999999999992
11,24,7,23.56,98.1,75.97,0.04,0.39,44.98,0.0,0.0999999999999943
7,17,6,37.0,150.07,83.61,0.05,0.36,51.98,0.0,0.4599999999999937
23,1,8,20.9,85.73,72.95,0.08,0.38,45.66,0.0,-3.1700000000000017
19,13,7,19.17,82.68,79.11,0.08,0.37,43.46,0.0,0.1300000000000096
19,28,6,8.53,11.06,74.03,0.1,0.14,50.18,0.0,1.5799999999999983
9,22,7,14.19,53.08,71.98,0.04,0.25,45.64,0.0,-0.980000000000004
3,24,7,20.1,82.2,78.46,0.08,0.39,48.71,0.0,-2.440000000000012
0,19,7,20.02,75.4,79.98,0.09,0.33,42.89,0.0,0.5699999999999932
23,15,7,28.89,127.73,78.42,0.1,0.47,42.58,0.0,1.960000000000008
7,27,6,42.28,157.43,87.64,0.12,0.27,54.09,0.22,1.0300000000000011
19,23,6,32.3,140.28,77.35,0.12,0.57,48.36,0.0,1.6200000000000043
21,19,7,14.86,61.45,89.6,0.1,0.38,42.15,0.0,-0.2800000000000011
3,15,7,25.6,110.63,79.99,0.11,0.49,43.34,0.0,-0.4200000000000017
23,24,7,27.96,108.27,76.0,0.09,0.45,43.93,0.0,-0.9500000000000028
12,11,6,9.89,36.4,78.44,0.04,0.27,42.03,0.0,-0.6700000000000017
8,14,6,22.08,97.83,77.33,0.06,0.48,47.35,0.0,-0.1900000000000119
13,16,7,24.18,107.45,74.51,0.06,0.4,38.58,0.0,-0.6599999999999966
15,6,7,30.89,144.89,72.51,0.11,0.62,47.78,0.0,0.2999999999999971
17,12,7,13.12,52.16,78.05,0.07,0.27,42.69,0.0,-0.5799999999999983
13,4,7,29.31,93.89,76.15,0.09,0.24,47.32,0.1,1.509999999999991
4,15,7,25.31,110.05,80.65,0.1,0.47,44.16,0.0,-0.6099999999999994
4,17,7,28.99,119.36,77.43,0.09,0.43,43.78,0.0,-1.2800000000000011
17,30,6,21.88,106.9,69.51,0.11,0.49,39.02,0.0,0.0
14,4,6,23.5,114.44,76.93,0.06,0.39,51.0,0.0,-2.1099999999999994
6,30,7,31.49,158.04,69.27,0.06,0.68,50.7,0.0,0.3400000000000034
23,11,6,9.12,36.81,74.52,0.06,0.32,41.07,0.0,0.6199999999999974
21,12,6,9.97,45.09,71.34,0.08,0.41,36.95,0.0,1.4099999999999966
19,1,8,26.18,118.47,73.78,0.09,0.46,42.67,0.0,0.5
3,7,7,36.49,172.79,72.11,0.12,0.6,55.08,0.0,-0.3400000000000034
1,18,7,23.05,99.88,79.77,0.07,0.33,42.17,0.0,0.0700000000000073
6,23,6,34.99,155.69,82.9,0.07,0.5,57.64,0.0,0.3200000000000074
4,18,6,33.55,135.79,81.6,0.08,0.45,54.58,0.0,-2.8200000000000074
5,29,7,23.42,117.98,70.87,0.07,0.64,49.88,0.0,0.6800000000000068
4,10,6,5.97,22.71,76.9,0.04,0.2,44.22,0.01,0.629999999999999
17,5,6,9.03,44.56,74.22,0.06,0.21,47.81,0.0,-1.5900000000000034
22,24,6,40.85,153.11,87.26,0.1,0.6,61.51,0.0,1.8700000000000043
9,25,6,39.44,158.29,94.44,0.08,0.59,70.14,0.0,-2.489999999999995
5,8,6,12.27,60.16,80.64,0.03,0.19,58.29,0.0,51.36
3,27,7,31.42,155.91,69.39,0.09,0.6,50.1,0.0,-2.1200000000000045
23,15,6,27.03,124.22,81.51,0.08,0.38,57.66,0.0,0.6800000000000068
0,20,7,15.46,65.3,83.17,0.11,0.39,39.78,0.0,1.3900000000000006
7,13,7,18.32,66.38,81.67,0.06,0.26,42.24,0.0,1.8699999999999972
1,12,7,16.04,63.59,75.55,0.09,0.3,43.11,0.0,0.990000000000002
19,12,6,9.29,41.85,71.47,0.08,0.41,36.51,0.0,1.25
