datetime,hour,day,month,aqi,pm25,pm10,co,no2,so2,o3,nh3,aqi_change_rate
2025-06-01T00:00:00+00:00,0,1,6,92.22,31.7,119.02,82.56,0.08,0.44,57.6,0.0,0.0
2025-06-01T01:00:00+00:00,1,1,6,95.96,33.48,122.17,83.28,0.08,0.46,58.8,0.0,3.739999999999995
2025-06-01T02:00:00+00:00,2,1,6,101.59,35.74,125.89,84.3,0.09,0.47,61.13,0.0,5.63000000000001
2025-06-01T03:00:00+00:00,3,1,6,108.14,38.4,129.82,86.11,0.09,0.47,63.78,0.0,6.549999999999997
2025-06-01T04:00:00+00:00,4,1,6,114.42,40.95,133.41,87.57,0.08,0.47,65.87,0.0,6.280000000000001
2025-06-01T05:00:00+00:00,5,1,6,119.02,42.82,135.78,88.63,0.06,0.46,66.46,0.0,4.599999999999994
2025-06-01T06:00:00+00:00,6,1,6,121.29,43.74,137.14,88.74,0.05,0.45,65.47,0.0,2.2700000000000102
2025-06-01T07:00:00+00:00,7,1,6,121.51,43.83,137.85,88.25,0.05,0.44,63.44,0.0,0.21999999999999886
2025-06-01T08:00:00+00:00,8,1,6,120.4,43.38,137.58,87.26,0.04,0.44,60.59,0.0,-1.1099999999999994
2025-06-01T09:00:00+00:00,9,1,6,118.73,42.7,136.82,86.16,0.04,0.44,57.36,0.0,-1.6700000000000017
2025-06-01T10:00:00+00:00,10,1,6,117.25,42.1,136.16,85.04,0.04,0.44,54.26,0.0,-1.480000000000004
2025-06-01T11:00:00+00:00,11,1,6,115.01,41.19,134.25,83.49,0.05,0.44,51.3,0.0,-2.239999999999995
2025-06-01T12:00:00+00:00,12,1,6,112.23,40.06,132.76,82.32,0.05,0.45,49.76,0.0,-2.780000000000001
2025-06-01T13:00:00+00:00,13,1,6,109.37,38.9,132.88,81.73,0.06,0.45,49.91,0.0,-2.8599999999999994
2025-06-01T14:00:00+00:00,14,1,6,106.24,37.63,133.8,81.43,0.08,0.45,51.19,0.0,-3.1300000000000097
2025-06-01T15:00:00+00:00,15,1,6,103.17,36.38,133.84,81.17,0.09,0.45,52.43,0.0,-3.069999999999993
2025-06-01T16:00:00+00:00,16,1,6,99.64,35.23,132.81,80.82,0.08,0.47,52.92,0.0,-3.530000000000001
2025-06-01T17:00:00+00:00,17,1,6,97.69,34.3,131.27,80.4,0.08,0.49,52.9,0.0,-1.9500000000000028
2025-06-01T18:00:00+00:00,18,1,6,96.07,33.53,130.29,79.94,0.08,0.51,52.7,0.0,-1.6200000000000045
2025-06-01T19:00:00+00:00,19,1,6,94.68,32.87,129.77,79.23,0.09,0.53,52.27,0.0,-1.3899999999999864
2025-06-01T20:00:00+00:00,20,1,6,93.92,32.51,129.69,78.65,0.09,0.55,51.65,0.0,-0.7600000000000051
2025-06-01T21:00:00+00:00,21,1,6,93.8,32.45,129.32,78.52,0.09,0.57,51.01,0.0,-0.12000000000000455
2025-06-01T22:00:00+00:00,22,1,6,94.6,32.83,129.98,78.89,0.09,0.58,50.99,0.0,0.7999999999999972
2025-06-01T23:00:00+00:00,23,1,6,95.88,33.44,130.97,79.59,0.09,0.58,51.56,0.0,1.2800000000000011
2025-06-02T00:00:00+00:00,0,2,6,97.77,34.34,132.69,80.49,0.09,0.57,52.61,0.0,1.8900000000000006
2025-06-02T01:00:00+00:00,1,2,6,0.0,35.45,135.67,81.46,0.09,0.56,54.0,0.0,-97.77
2025-06-02T02:00:00+00:00,2,2,6,103.34,36.45,138.45,82.45,0.1,0.56,55.41,0.0,103.34
2025-06-02T03:00:00+00:00,3,2,6,105.48,37.32,140.99,83.44,0.09,0.55,57.06,0.0,2.1400000000000006
2025-06-02T04:00:00+00:00,4,2,6,107.53,38.15,143.63,84.43,0.08,0.54,58.63,0.0,2.049999999999997
2025-06-02T05:00:00+00:00,5,2,6,110.18,39.23,148.08,85.31,0.06,0.53,59.8,0.0,2.6500000000000057
2025-06-02T06:00:00+00:00,6,2,6,113.34,40.51,154.65,86.05,0.06,0.52,60.01,0.0,3.1599999999999966
2025-06-02T07:00:00+00:00,7,2,6,0.0,0.0,0.0,86.61,0.05,0.5,59.62,0.0,-113.34
2025-06-02T08:00:00+00:00,8,2,6,119.79,43.13,169.64,86.98,0.05,0.48,58.74,0.0,119.79
2025-06-02T09:00:00+00:00,9,2,6,122.37,44.18,175.24,87.18,0.05,0.46,57.96,0.0,2.5799999999999983
2025-06-02T10:00:00+00:00,10,2,6,124.93,45.22,180.9,87.67,0.05,0.45,57.92,0.0,2.5600000000000023
2025-06-02T11:00:00+00:00,11,2,6,126.44,45.83,184.17,88.13,0.05,0.44,58.16,0.0,1.509999999999991
2025-06-02T12:00:00+00:00,12,2,6,126.81,45.98,185.18,88.51,0.05,0.43,58.71,0.0,0.37000000000000455
2025-06-02T13:00:00+00:00,13,2,6,127.42,46.23,187.27,89.14,0.06,0.43,59.6,0.0,0.6099999999999994
2025-06-02T14:00:00+00:00,14,2,6,128.23,46.56,189.99,89.65,0.08,0.43,60.83,0.0,0.8099999999999881
2025-06-02T15:00:00+00:00,15,2,6,129.02,46.88,192.28,90.33,0.09,0.44,62.0,0.0,0.7900000000000205
2025-06-02T16:00:00+00:00,16,2,6,129.56,47.1,195.06,90.57,0.09,0.44,62.87,0.0,0.539999999999992
2025-06-02T17:00:00+00:00,17,2,6,129.96,47.26,197.24,90.73,0.09,0.44,63.17,0.0,0.4000000000000057
2025-06-02T18:00:00+00:00,18,2,6,129.98,47.27,197.84,90.61,0.08,0.44,63.3,0.0,0.01999999999998181
2025-06-02T19:00:00+00:00,19,2,6,129.56,47.1,198.63,90.54,0.08,0.43,63.71,0.0,-0.4199999999999875
2025-06-02T20:00:00+00:00,20,2,6,128.9,46.83,198.44,90.68,0.08,0.43,64.5,0.0,-0.6599999999999966
2025-06-02T21:00:00+00:00,21,2,6,128.41,46.63,199.88,91.03,0.07,0.42,65.73,0.0,-0.4900000000000091
2025-06-02T22:00:00+00:00,22,2,6,129.14,46.93,205.47,91.73,0.07,0.41,67.49,0.0,0.7299999999999898
2025-06-02T23:00:00+00:00,23,2,6,130.52,47.49,212.11,92.36,0.07,0.41,69.3,0.0,1.3800000000000239
2025-06-03T00:00:00+00:00,0,3,6,132.05,48.11,219.44,92.93,0.07,0.42,70.95,0.0,1.5300000000000011
2025-06-03T01:00:00+00:00,1,3,6,133.87,48.85,227.24,93.39,0.07,0.43,72.62,0.0,1.8199999999999932
2025-06-03T02:00:00+00:00,2,3,6,135.96,49.7,234.16,94.18,0.08,0.44,74.26,0.0,2.0900000000000034
